n_est,max_depth,lambda,learning_rate,missing,objective,accuracy
250,2,1,0.25,0,binary:hinge,0.8411597116890485
250,2,1,0.25,0,binary:logitraw,0.8438008469074919
250,2,1.5,0.15,nan,binary:logistic,0.8484076784183029
250,2,1.5,0.15,nan,binary:hinge,0.8284759580873532
250,2,1.5,0.15,nan,binary:logitraw,0.8426645474086637
250,2,1.5,0.15,0,binary:logistic,0.8484076784183029
250,2,1.5,0.15,0,binary:hinge,0.8284759580873532
250,2,1.5,0.15,0,binary:logitraw,0.8426645474086637
250,2,1.5,0.2,nan,binary:logistic,0.8493904643112686
250,2,1.5,0.2,nan,binary:hinge,0.8379350261239688
250,2,1.5,0.2,nan,binary:logitraw,0.8428488112745196
250,2,1.5,0.2,0,binary:logistic,0.8493904643112686
250,2,1.5,0.2,0,binary:hinge,0.8379350261239688
250,2,1.5,0.2,0,binary:logitraw,0.8428488112745196
250,2,1.5,0.25,nan,binary:logistic,0.8499739439156119
250,2,1.5,0.25,nan,binary:hinge,0.8413439614064457
250,2,1.5,0.25,nan,binary:logitraw,0.8436780015005629
250,2,1.5,0.25,0,binary:logistic,0.8499739439156119
250,2,1.5,0.25,0,binary:hinge,0.8413439614064457
250,2,1.5,0.25,0,binary:logitraw,0.8436780015005629
250,2,2,0.15,nan,binary:logistic,0.8488068998161736
250,2,2,0.15,nan,binary:hinge,0.8262953184114293
250,2,2,0.15,nan,binary:logitraw,0.8424495615797315
250,2,2,0.15,0,binary:logistic,0.8488068998161736
250,2,2,0.15,0,binary:hinge,0.8262953184114293
250,2,2,0.15,0,binary:logitraw,0.8424495615797315
250,2,2,0.2,nan,binary:logistic,0.8489604728455623
250,2,2,0.2,nan,binary:hinge,0.8348332029439683
250,2,2,0.2,nan,binary:logitraw,0.842787378667134
250,2,2,0.2,0,binary:logistic,0.8489604728455623
250,2,2,0.2,0,binary:hinge,0.8348332029439683
250,2,2,0.2,0,binary:logitraw,0.842787378667134
250,2,2,0.25,nan,binary:logistic,0.8496975452871363
250,2,2,0.25,nan,binary:hinge,0.8406376250764067
250,2,2,0.25,nan,binary:logitraw,0.8429102127552962
250,2,2,0.25,0,binary:logistic,0.8496975452871363
250,2,2,0.25,0,binary:hinge,0.8406376250764067
250,2,2,0.25,0,binary:logitraw,0.8429102127552962
250,3,0.5,0.15,nan,binary:logistic,0.8509874432825786
250,3,0.5,0.15,nan,binary:hinge,0.8426951929700633
250,3,0.5,0.15,nan,binary:logitraw,0.8434630241607058
250,3,0.5,0.15,0,binary:logistic,0.8509874432825786
250,3,0.5,0.15,0,binary:hinge,0.8426951929700633
250,3,0.5,0.15,0,binary:logitraw,0.8434630241607058
250,3,0.5,0.2,nan,binary:logistic,0.8507724602833383
250,3,0.5,0.2,nan,binary:hinge,0.8407910905775097
250,3,0.5,0.2,nan,binary:logitraw,0.8444457817567544
250,3,0.5,0.2,0,binary:logistic,0.8507724602833383
250,3,0.5,0.2,0,binary:hinge,0.8407910905775097
250,3,0.5,0.2,0,binary:logitraw,0.8444457817567544
250,3,0.5,0.25,nan,binary:logistic,0.8502503651816212
250,3,0.5,0.25,nan,binary:hinge,0.8423880921863537
250,3,0.5,0.25,nan,binary:logitraw,0.8433708667605524
250,3,0.5,0.25,0,binary:logistic,0.8502503651816212
250,3,0.5,0.25,0,binary:hinge,0.8423880921863537
250,3,0.5,0.25,0,binary:logitraw,0.8433708667605524
250,3,1,0.15,nan,binary:logistic,0.8499125367754518
250,3,1,0.15,nan,binary:hinge,0.8418046239007774
250,3,1,0.15,nan,binary:logitraw,0.8434630496279315
250,3,1,0.15,0,binary:logistic,0.8499125367754518
250,3,1,0.15,0,binary:hinge,0.8418046239007774
250,3,1,0.15,0,binary:logitraw,0.8434630496279315
250,3,1,0.2,nan,binary:logistic,0.8509260106751931
250,3,1,0.2,nan,binary:hinge,0.8423881006754287
250,3,1,0.2,nan,binary:logitraw,0.8441386951215034
250,3,1,0.2,0,binary:logistic,0.8509260106751931
250,3,1,0.2,0,binary:hinge,0.8423881006754287
250,3,1,0.2,0,binary:logitraw,0.8441386951215034
250,3,1,0.25,nan,binary:logistic,0.8497589892132887
250,3,1,0.25,nan,binary:hinge,0.8435858639082515
250,3,1,0.25,nan,binary:logitraw,0.842725951719132
250,3,1,0.25,0,binary:logistic,0.8497589892132887
250,3,1,0.25,0,binary:hinge,0.8435858639082515
250,3,1,0.25,0,binary:logitraw,0.842725951719132
250,3,1.5,0.15,nan,binary:logistic,0.8503118034483902
250,3,1.5,0.15,nan,binary:hinge,0.8414360254267722
250,3,1.5,0.15,nan,binary:logitraw,0.8435858723973267
250,3,1.5,0.15,0,binary:logistic,0.8503118034483902
250,3,1.5,0.15,0,binary:hinge,0.8414360254267722
250,3,1.5,0.15,0,binary:logitraw,0.8435858723973267
250,3,1.5,0.2,nan,binary:logistic,0.8507724574536466
250,3,1.5,0.2,nan,binary:hinge,0.842510954571433
250,3,1.5,0.2,nan,binary:logitraw,0.8439544086181137
250,3,1.5,0.2,0,binary:logistic,0.8507724574536466
250,3,1.5,0.2,0,binary:hinge,0.842510954571433
250,3,1.5,0.2,0,binary:logitraw,0.8439544086181137
250,3,1.5,0.25,nan,binary:logistic,0.8499739835312962
250,3,1.5,0.25,nan,binary:hinge,0.8434323078570132
250,3,1.5,0.25,nan,binary:logitraw,0.8437394369376401
250,3,1.5,0.25,0,binary:logistic,0.8499739835312962
250,3,1.5,0.25,0,binary:hinge,0.8434323078570132
250,3,1.5,0.25,0,binary:logitraw,0.8437394369376401
250,3,2,0.15,nan,binary:logistic,0.8501275452419178
250,3,2,0.15,nan,binary:hinge,0.8401461387500967
250,3,2,0.15,nan,binary:logitraw,0.8437394256188733
250,3,2,0.15,0,binary:logistic,0.8501275452419178
250,3,2,0.15,0,binary:hinge,0.8401461387500967
250,3,2,0.15,0,binary:logitraw,0.8437394256188733
250,3,2,0.2,nan,binary:logistic,0.8512638504001294
250,3,2,0.2,nan,binary:hinge,0.8422345333054236
250,3,2,0.2,nan,binary:logitraw,0.843555144774867
250,3,2,0.2,0,binary:logistic,0.8512638504001294
250,3,2,0.2,0,binary:hinge,0.8422345333054236
250,3,2,0.2,0,binary:logitraw,0.843555144774867
250,3,2,0.25,nan,binary:logistic,0.8505575055810152
250,3,2,0.25,nan,binary:hinge,0.8434937659316243
250,3,2,0.25,nan,binary:logitraw,0.8436780269677885
250,3,2,0.25,0,binary:logistic,0.8505575055810152
250,3,2,0.25,0,binary:hinge,0.8434937659316243
250,3,2,0.25,0,binary:logitraw,0.8436780269677885
250,4,0.5,0.15,nan,binary:logistic,0.8494825764363544
250,4,0.5,0.15,nan,binary:hinge,0.8410981885315277
250,4,0.5,0.15,nan,binary:logitraw,0.8433401447974762
250,4,0.5,0.15,0,binary:logistic,0.8494825764363544
250,4,0.5,0.15,0,binary:hinge,0.8410981885315277
250,4,0.5,0.15,0,binary:logitraw,0.8433401447974762
250,4,0.5,0.2,nan,binary:logistic,0.8492982955923482
250,4,0.5,0.2,nan,binary:hinge,0.8412518040062923
250,4,0.5,0.2,nan,binary:logitraw,0.8434937093377898
250,4,0.5,0.2,0,binary:logistic,0.8492982955923482
250,4,0.5,0.2,0,binary:hinge,0.8412518040062923
250,4,0.5,0.2,0,binary:logitraw,0.8434937093377898
250,4,0.5,0.25,nan,binary:logistic,0.8460736241757271
250,4,0.5,0.25,nan,binary:hinge,0.84327876029485
250,4,0.5,0.25,nan,binary:logitraw,0.843063763147151
250,4,0.5,0.25,0,binary:logistic,0.8460736241757271
250,4,0.5,0.25,0,binary:hinge,0.84327876029485
250,4,0.5,0.25,0,binary:logitraw,0.843063763147151
250,4,1,0.15,nan,binary:logistic,0.8494211494883525
250,4,1,0.15,nan,binary:hinge,0.8428180893114433
250,4,1,0.15,nan,binary:logitraw,0.8436165688931773
250,4,1,0.15,0,binary:logistic,0.8494211494883525
250,4,1,0.15,0,binary:hinge,0.8428180893114433
250,4,1,0.15,0,binary:logitraw,0.8436165688931773
250,4,1,0.2,nan,binary:logistic,0.8487761665343304
250,4,1,0.2,nan,binary:hinge,0.8426645389195885
250,4,1,0.2,nan,binary:logitraw,0.8432479987160896
250,4,1,0.2,0,binary:logistic,0.8487761665343304
250,4,1,0.2,0,binary:hinge,0.8426645389195885
250,4,1,0.2,0,binary:logitraw,0.8432479987160896
250,4,1,0.25,nan,binary:logistic,0.8472713619413242
250,4,1,0.25,nan,binary:hinge,0.8436166226573202
250,4,1,0.25,nan,binary:logitraw,0.8431865972353131
250,4,1,0.25,0,binary:logistic,0.8472713619413242
250,4,1,0.25,0,binary:hinge,0.8436166226573202
250,4,1,0.25,0,binary:logitraw,0.8431865972353131
250,4,1.5,0.15,nan,binary:logistic,0.8500046602193047
250,4,1.5,0.15,nan,binary:hinge,0.8432173729625321
250,4,1.5,0.15,nan,binary:logitraw,0.8430022909240812
250,4,1.5,0.15,0,binary:logistic,0.8500046602193047
250,4,1.5,0.15,0,binary:hinge,0.8432173729625321
250,4,1.5,0.15,0,binary:logitraw,0.8430022909240812
250,4,1.5,0.2,nan,binary:logistic,0.8485304898689311
250,4,1.5,0.2,nan,binary:hinge,0.8415281318924747
250,4,1.5,0.2,nan,binary:logitraw,0.8431251561388523
250,4,1.5,0.2,0,binary:logistic,0.8485304898689311
250,4,1.5,0.2,0,binary:hinge,0.8415281318924747
250,4,1.5,0.2,0,binary:logitraw,0.8431251561388523
250,4,1.5,0.25,nan,binary:logistic,0.8470870839270098
250,4,1.5,0.25,nan,binary:hinge,0.8432173418359231
250,4,1.5,0.25,nan,binary:logitraw,0.8435551221373331
250,4,1.5,0.25,0,binary:logistic,0.8470870839270098
250,4,1.5,0.25,0,binary:hinge,0.8432173418359231
250,4,1.5,0.25,0,binary:logitraw,0.8435551221373331
250,4,2,0.15,nan,binary:logistic,0.8492368771334213
250,4,2,0.15,nan,binary:hinge,0.8428795700235883
250,4,2,0.15,nan,binary:logitraw,0.8430023701554497
250,4,2,0.15,0,binary:logistic,0.8492368771334213
250,4,2,0.15,0,binary:hinge,0.8428795700235883
250,4,2,0.15,0,binary:logitraw,0.8430023701554497
250,4,2,0.2,nan,binary:logistic,0.8493289751100486
250,4,2,0.2,nan,binary:hinge,0.8422038509580315
250,4,2,0.2,nan,binary:logitraw,0.8425109206151321
250,4,2,0.2,0,binary:logistic,0.8493289751100486
250,4,2,0.2,0,binary:hinge,0.8422038509580315
250,4,2,0.2,0,binary:logitraw,0.8425109206151321
250,4,2,0.25,nan,binary:logistic,0.8492061636594203
250,4,2,0.25,nan,binary:hinge,0.8440465433807333
250,4,2,0.25,nan,binary:logitraw,0.8434322908788628
250,4,2,0.25,0,binary:logistic,0.8492061636594203
250,4,2,0.25,0,binary:hinge,0.8440465433807333
250,4,2,0.25,0,binary:logitraw,0.8434322908788628
